Year,Serie,RefArea,Value
2015,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,65.23
2016,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,65.22
2017,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,67.49
2019,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,70.76
2020,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,72.84
2021,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,76.18
2023,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática,España,77.8
2015,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,95.15
2016,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,94.18
2017,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,93.16
2019,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,95.11
2020,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,95.54
2021,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,96.04
2023,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática,España,94.2
2015,Proporción de personas entre 25 y 74 años que han utilizado alguna habilidad informática,España,61.28
2016,Proporción de personas entre 25 y 74 años que han utilizado alguna habilidad informática,España,61.41
2017,Proporción de personas entre 25 y 74 años que han utilizado alguna habilidad informática,España,64.11
2019,Proporción de personas entre 25 y 74 años que han utilizado alguna habilidad informática,España,67.48
2020,Proporción de personas entre 25 y 74 años que han utilizado alguna habilidad informática,España,69.68
2021,Proporción de personas entre 25 y 74 años que han utilizado alguna habilidad informática,España,73.39
2023,Proporción de personas entre 25 y 74 años que han utilizado alguna habilidad informática,España,75.39
