Year,Serie,Región,Value
2015,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.4
2016,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.09
2017,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.01
2018,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.07
2019,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.18
2020,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.26
2021,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.5
2022,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.77
2023,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.77
2015,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.75
2016,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,99.81
2017,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,99.26
2018,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,96.5
2019,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,97.43
2020,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.91
2021,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.71
2022,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,97.48
2023,Proporción de personas entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.86
2015,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,94.38
2016,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,94.05
2017,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.22
2018,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.14
2019,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.32
2020,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.39
2021,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.38
2022,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.23
2023,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,95.99
2015,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,99.19
2016,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,100.0
2017,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.75
2018,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,99.66
2019,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,97.7
2020,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.79
2021,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.59
2022,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,96.04
2023,Proporción de hombres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,97.89
2015,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.49
2016,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.19
2017,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,96.87
2018,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,97.05
2019,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,97.09
2020,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,97.16
2021,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,97.71
2022,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,97.33
2023,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,España,97.59
2015,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,98.3
2016,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,99.64
2017,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,100.0
2018,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,92.98
2019,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,97.19
2020,Proporción de mujeres entre 18 y 20 años que han completado al menos la primera etapa de enseñanza secundaria,Cantabria,99.01
