Year,Serie,RefArea,Value
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,7982.35
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,12793.29
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,1997.11
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,9349.67
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,7978.13
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,6692.25
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,9183.75
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,9599.06
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,8889.24
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,4371.44
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,3793.73
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,-240.56
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,-4992.63
2023,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,España,6360.19
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,56.41
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,63.32
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,-1922.06
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,-8.7
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,2549.92
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,77.57
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,21.73
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,19.18
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,3698.46
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,-70.07
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,17.5
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,27.48
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,90.4
2023,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Cantabria,72.37
2010,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,510.42
2011,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,286.82
2012,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,207.72
2013,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,185.7
2014,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,162.35
2015,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,189.8
2016,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,218.57
2017,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales,España,244.96
