Year,Serie,RefArea,Value
2010,Tasa de desempleo,España,19.86
2011,Tasa de desempleo,España,21.39
2012,Tasa de desempleo,España,24.79
2013,Tasa de desempleo,España,26.09
2014,Tasa de desempleo,España,24.44
2015,Tasa de desempleo,España,22.06
2016,Tasa de desempleo,España,19.63
2017,Tasa de desempleo,España,17.22
2018,Tasa de desempleo,España,15.25
2019,Tasa de desempleo,España,14.1
2020,Tasa de desempleo,España,15.53
2021,Tasa de desempleo,España,14.91
2022,Tasa de desempleo,España,13.03
2023,Tasa de desempleo,España,12.18
2014,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,32.7
2015,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,31.0
2016,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,28.6
2017,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,26.2
2018,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,25.2
2019,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,23.9
2020,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,22.2
2021,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,22.5
2022,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,21.4
2010,Tasa de desempleo de los hombres,España,19.57
2011,Tasa de desempleo de los hombres,España,21.04
2012,Tasa de desempleo de los hombres,España,24.58
2013,Tasa de desempleo de los hombres,España,25.6
2014,Tasa de desempleo de los hombres,España,23.6
2015,Tasa de desempleo de los hombres,España,20.77
2016,Tasa de desempleo de los hombres,España,18.12
2017,Tasa de desempleo de los hombres,España,15.66
2018,Tasa de desempleo de los hombres,España,13.72
2019,Tasa de desempleo de los hombres,España,12.45
2020,Tasa de desempleo de los hombres,España,13.87
2021,Tasa de desempleo de los hombres,España,13.22
2022,Tasa de desempleo de los hombres,España,11.39
2023,Tasa de desempleo de los hombres,España,10.66
2010,Tasa de desempleo de las mujeres,España,20.22
2011,Tasa de desempleo de las mujeres,España,21.81
2012,Tasa de desempleo de las mujeres,España,25.03
2013,Tasa de desempleo de las mujeres,España,26.67
2014,Tasa de desempleo de las mujeres,España,25.43
2015,Tasa de desempleo de las mujeres,España,23.55
2016,Tasa de desempleo de las mujeres,España,21.38
2017,Tasa de desempleo de las mujeres,España,19.03
2018,Tasa de desempleo de las mujeres,España,17.02
2019,Tasa de desempleo de las mujeres,España,15.99
2020,Tasa de desempleo de las mujeres,España,17.43
2021,Tasa de desempleo de las mujeres,España,16.83
2022,Tasa de desempleo de las mujeres,España,14.89
2023,Tasa de desempleo de las mujeres,España,13.87
2014,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,24.3
2015,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,21.9
2016,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,19.5
2017,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,17.1
2018,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,15.1
2019,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,13.9
2020,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,15.4
2021,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,14.7
2022,Tasa de desempleo de las personas entre 16 y 64 años sin discapacidad,España,12.8
2014,Tasa de desempleo de las personas entre 16 y 64 años,España,24.6
2015,Tasa de desempleo de las personas entre 16 y 64 años,España,22.2
2016,Tasa de desempleo de las personas entre 16 y 64 años,España,19.7
2017,Tasa de desempleo de las personas entre 16 y 64 años,España,17.3
2018,Tasa de desempleo de las personas entre 16 y 64 años,España,15.4
2019,Tasa de desempleo de las personas entre 16 y 64 años,España,14.2
2020,Tasa de desempleo de las personas entre 16 y 64 años,España,15.6
2021,Tasa de desempleo de las personas entre 16 y 64 años,España,14.9
2022,Tasa de desempleo de las personas entre 16 y 64 años,España,13.0
