Year,Serie,RefArea,Value
2010,Proporción de partos atendidos por personal sanitario especializado,España,99.94
2011,Proporción de partos atendidos por personal sanitario especializado,España,99.94
2012,Proporción de partos atendidos por personal sanitario especializado,España,99.94
2013,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2014,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2015,Proporción de partos atendidos por personal sanitario especializado,España,99.92
2016,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2017,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2018,Proporción de partos atendidos por personal sanitario especializado,España,99.92
2019,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2020,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2021,Proporción de partos atendidos por personal sanitario especializado,España,99.93
2022,Proporción de partos atendidos por personal sanitario especializado,España,99.91
2023,Proporción de partos atendidos por personal sanitario especializado,España,99.92
