Year,Serie,RefArea,Value
2015,Número de personas refugiadas por cada 100.000 habitantes,España,10.84
2016,Número de personas refugiadas por cada 100.000 habitantes,España,13.45
2017,Número de personas refugiadas por cada 100.000 habitantes,España,19.1
2018,Número de personas refugiadas por cada 100.000 habitantes,España,24.45
2019,Número de personas refugiadas por cada 100.000 habitantes,España,48.23
2020,Número de personas refugiadas por cada 100.000 habitantes,España,123.85
2021,Número de personas refugiadas por cada 100.000 habitantes,España,212.75
2022,Número de personas refugiadas por cada 100.000 habitantes,España,276.0
2015,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,12.82
2016,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,11.33
2017,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,9.12
2018,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,10.83
2019,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,11.0
2020,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,15.61
2021,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,36.09
2022,Número de personas refugiadas por cada 100.000 habitantes,Cantabria,76.18
