Year,Serie,RefArea,Value
2010,Tasa de desempleo,España,19.86
2011,Tasa de desempleo,España,21.39
2012,Tasa de desempleo,España,24.79
2013,Tasa de desempleo,España,26.09
2014,Tasa de desempleo,España,24.44
2015,Tasa de desempleo,España,22.06
2016,Tasa de desempleo,España,19.63
2017,Tasa de desempleo,España,17.22
2018,Tasa de desempleo,España,15.25
2019,Tasa de desempleo,España,14.1
2020,Tasa de desempleo,España,15.53
2021,Tasa de desempleo,España,14.91
2022,Tasa de desempleo,España,13.03
2023,Tasa de desempleo,España,12.18
2010,Tasa de desempleo,Cantabria,13.7
2011,Tasa de desempleo,Cantabria,15.29
2012,Tasa de desempleo,Cantabria,17.8
2013,Tasa de desempleo,Cantabria,20.44
2014,Tasa de desempleo,Cantabria,19.42
2015,Tasa de desempleo,Cantabria,17.65
2016,Tasa de desempleo,Cantabria,14.89
2017,Tasa de desempleo,Cantabria,13.56
2018,Tasa de desempleo,Cantabria,10.67
2019,Tasa de desempleo,Cantabria,10.28
2020,Tasa de desempleo,Cantabria,12.14
2021,Tasa de desempleo,Cantabria,11.25
2022,Tasa de desempleo,Cantabria,9.57
2023,Tasa de desempleo,Cantabria,8.14
2014,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,32.7
2015,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,31.0
2016,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,28.6
2017,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,26.2
2018,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,25.2
2019,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,23.9
2020,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,22.2
2021,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,22.5
2022,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,España,21.4
2014,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,38.36
2015,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,30.81
2016,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,22.75
2017,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,19.24
2018,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,12.86
2019,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,11.74
2020,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,16.08
2021,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,18.38
2022,Tasa de desempleo de las personas entre 16 y 64 años con discapacidad,Cantabria,12.98
2010,Tasa de desempleo de los hombres,España,19.57
2011,Tasa de desempleo de los hombres,España,21.04
2012,Tasa de desempleo de los hombres,España,24.58
2013,Tasa de desempleo de los hombres,España,25.6
2014,Tasa de desempleo de los hombres,España,23.6
2015,Tasa de desempleo de los hombres,España,20.77
2016,Tasa de desempleo de los hombres,España,18.12
