Year,Serie,RefArea,Value
2010,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,95.91
2011,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,98.81
2012,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.8
2013,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.62
2014,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.09
2015,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,102.64
2016,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,99.93
2017,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,99.64
2018,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,101.96
2019,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.4
2020,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,111.92
2021,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,106.78
2022,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,101.71
2010,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,102.65
2011,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,100.81
2012,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,98.55
2013,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,100.36
2014,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,104.99
2015,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,106.46
2016,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,102.77
2017,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,99.75
2018,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,99.82
2019,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,102.77
2020,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,93.68
2021,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,100.22
2022,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,101.58
