Year,Serie,Value
2010,Proporción de personas ocupadas en el sector manufacturero,14.24
2011,Proporción de personas ocupadas en el sector manufacturero,15.05
2012,Proporción de personas ocupadas en el sector manufacturero,14.71
2013,Proporción de personas ocupadas en el sector manufacturero,15.08
2014,Proporción de personas ocupadas en el sector manufacturero,14.4
2015,Proporción de personas ocupadas en el sector manufacturero,13.36
2016,Proporción de personas ocupadas en el sector manufacturero,14.28
2017,Proporción de personas ocupadas en el sector manufacturero,13.95
2018,Proporción de personas ocupadas en el sector manufacturero,14.31
2019,Proporción de personas ocupadas en el sector manufacturero,14.3
2010,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),14.53
2011,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),14.34
2012,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),13.69
2013,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),13.07
2014,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),12.76
2015,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),12.45
2016,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),12.99
2017,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),13.39
2018,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),13.44
2010,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),14.6
2011,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),14.45
2012,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),13.79
2013,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),13.11
2014,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),13.08
2015,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),12.63
2016,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),13.17
2017,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),13.64
2018,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),13.49
