Year,Serie,Value
2010,Tasa de desempleo de hombres,11.31
2011,Tasa de desempleo de hombres,14.47
2012,Tasa de desempleo de hombres,17.22
2013,Tasa de desempleo de hombres,18.35
2014,Tasa de desempleo de hombres,18.45
2015,Tasa de desempleo de hombres,14.99
2016,Tasa de desempleo de hombres,13.55
2017,Tasa de desempleo de hombres,12.15
2018,Tasa de desempleo de hombres,8.47
2019,Tasa de desempleo de hombres,9.0
2010,Tasa de desempleo de mujeres,13.05
2011,Tasa de desempleo de mujeres,12.86
2012,Tasa de desempleo de mujeres,15.96
2013,Tasa de desempleo de mujeres,19.47
2014,Tasa de desempleo de mujeres,17.72
2015,Tasa de desempleo de mujeres,18.66
2016,Tasa de desempleo de mujeres,14.88
2017,Tasa de desempleo de mujeres,12.97
2018,Tasa de desempleo de mujeres,11.3
2019,Tasa de desempleo de mujeres,10.05
