Year,Serie,Región,Value
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,30.21
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,28.68
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,28.82
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,27.46
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,27.25
2019,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,26.16
2020,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,26.97
2021,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,27.82
2022,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,26.0
2010,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,22.5
2011,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,23.0
2012,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,24.1
2013,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,25.3
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,29.67
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,20.44
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,25.21
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,20.53
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,24.39
2019,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,19.8
2020,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,24.28
2021,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,21.43
2022,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,19.54
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,29.61
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.5
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.91
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.2
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,26.55
2019,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,25.6
2020,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,26.11
2021,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.15
2022,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,25.31
2010,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,22.5
2011,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.1
2012,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.2
2013,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.9
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,28.84
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.56
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,24.91
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,20.24
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,23.8
2019,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,22.44
2020,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,24.28
2021,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,22.66
2022,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,22.73
2014,Proporción de personas en situación de carencia material y social severa,España,10.73
2015,Proporción de personas en situación de carencia material y social severa,España,7.35
2016,Proporción de personas en situación de carencia material y social severa,España,8.49
2017,Proporción de personas en situación de carencia material y social severa,España,8.34
2018,Proporción de personas en situación de carencia material y social severa,España,8.7
2019,Proporción de personas en situación de carencia material y social severa,España,7.67
2020,Proporción de personas en situación de carencia material y social severa,España,8.51
2021,Proporción de personas en situación de carencia material y social severa,España,8.29
2022,Proporción de personas en situación de carencia material y social severa,España,7.73
2010,Proporción de personas en situación de carencia material y social severa,Cantabria,1.5
2011,Proporción de personas en situación de carencia material y social severa,Cantabria,1.5
2012,Proporción de personas en situación de carencia material y social severa,Cantabria,2.3
2013,Proporción de personas en situación de carencia material y social severa,Cantabria,3.9
2014,Proporción de personas en situación de carencia material y social severa,Cantabria,8.22
2015,Proporción de personas en situación de carencia material y social severa,Cantabria,3.68
2016,Proporción de personas en situación de carencia material y social severa,Cantabria,6.0
2017,Proporción de personas en situación de carencia material y social severa,Cantabria,3.27
2018,Proporción de personas en situación de carencia material y social severa,Cantabria,5.02
2019,Proporción de personas en situación de carencia material y social severa,Cantabria,2.1
2020,Proporción de personas en situación de carencia material y social severa,Cantabria,5.29
2021,Proporción de personas en situación de carencia material y social severa,Cantabria,5.28
2022,Proporción de personas en situación de carencia material y social severa,Cantabria,4.95
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,16.93
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,15.41
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,14.91
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,12.78
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.8
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.91
2020,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.02
2021,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,11.62
2022,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,8.66
2010,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,8.9
2011,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,13.8
2012,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,11.9
2013,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,11.1
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,16.53
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,15.81
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,15.49
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,9.12
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,11.17
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,7.98
2020,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,7.57
2021,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,11.14
2022,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,9.42
