Year,Serie,Región,Value
2012,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,20.43
2013,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.29
2014,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.36
2015,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.53
2016,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,24.46
2017,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,24.3
2018,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.83
2019,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.64
2020,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,España,23.01
2012,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,20.17
2013,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,22.28
2014,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,23.81
2015,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,22.89
2016,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,24.43
2017,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,24.18
2018,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,23.76
2019,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,23.55
2020,Proporción del gasto de las administraciones públicas autonómicas que se dedica a educación,Cantabria,24.56
2010,Proporción del gasto público total que se dedica a educación,Cantabria,12.56
2010,Proporción del gasto público total que se dedica a educación,Cantabria,12.56
2011,Proporción del gasto público total que se dedica a educación,Cantabria,12.96
2011,Proporción del gasto público total que se dedica a educación,Cantabria,12.96
2012,Proporción del gasto público total que se dedica a educación,Cantabria,11.47
2012,Proporción del gasto público total que se dedica a educación,Cantabria,11.47
2013,Proporción del gasto público total que se dedica a educación,Cantabria,11.57
2013,Proporción del gasto público total que se dedica a educación,Cantabria,11.57
2014,Proporción del gasto público total que se dedica a educación,Cantabria,11.53
2014,Proporción del gasto público total que se dedica a educación,Cantabria,11.53
2015,Proporción del gasto público total que se dedica a educación,Cantabria,11.43
2015,Proporción del gasto público total que se dedica a educación,Cantabria,11.43
2016,Proporción del gasto público total que se dedica a educación,Cantabria,12.35
2016,Proporción del gasto público total que se dedica a educación,Cantabria,12.35
2017,Proporción del gasto público total que se dedica a educación,Cantabria,11.85
2017,Proporción del gasto público total que se dedica a educación,Cantabria,11.85
2018,Proporción del gasto público total que se dedica a educación,Cantabria,11.78
2018,Proporción del gasto público total que se dedica a educación,Cantabria,11.78
2019,Proporción del gasto público total que se dedica a educación,Cantabria,11.66
2019,Proporción del gasto público total que se dedica a educación,Cantabria,11.66
2012,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,30.98
2013,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,35.35
2014,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,35.36
2015,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,35.71
2016,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.97
2017,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.71
2018,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.46
2019,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,36.43
2020,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,España,38.39
2012,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,30.03
2013,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,35.46
2014,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,37.68
2015,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,38.72
2016,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,36.65
2017,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,37.16
2018,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,37.11
2019,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,37.02
2020,Proporción del gasto de las administraciones públicas autonómicas que se dedica a salud,Cantabria,39.22
2010,Proporción del gasto público total que se dedica a salud,Cantabria,20.73
2010,Proporción del gasto público total que se dedica a salud,Cantabria,20.73
2011,Proporción del gasto público total que se dedica a salud,Cantabria,18.62
2011,Proporción del gasto público total que se dedica a salud,Cantabria,18.62
2012,Proporción del gasto público total que se dedica a salud,Cantabria,24.21
2012,Proporción del gasto público total que se dedica a salud,Cantabria,24.21
2013,Proporción del gasto público total que se dedica a salud,Cantabria,18.79
2013,Proporción del gasto público total que se dedica a salud,Cantabria,18.79
2014,Proporción del gasto público total que se dedica a salud,Cantabria,18.65
2014,Proporción del gasto público total que se dedica a salud,Cantabria,18.65
2015,Proporción del gasto público total que se dedica a salud,Cantabria,19.17
2015,Proporción del gasto público total que se dedica a salud,Cantabria,19.17
2016,Proporción del gasto público total que se dedica a salud,Cantabria,18.88
2016,Proporción del gasto público total que se dedica a salud,Cantabria,18.88
2017,Proporción del gasto público total que se dedica a salud,Cantabria,19.68
2017,Proporción del gasto público total que se dedica a salud,Cantabria,19.68
2018,Proporción del gasto público total que se dedica a salud,Cantabria,20.75
2018,Proporción del gasto público total que se dedica a salud,Cantabria,20.75
2019,Proporción del gasto público total que se dedica a salud,Cantabria,21.9
2019,Proporción del gasto público total que se dedica a salud,Cantabria,21.9
2010,Proporción del gasto público total que se dedica a protección social,Cantabria,34.99
2010,Proporción del gasto público total que se dedica a protección social,Cantabria,34.99
2011,Proporción del gasto público total que se dedica a protección social,Cantabria,35.86
2011,Proporción del gasto público total que se dedica a protección social,Cantabria,35.86
2012,Proporción del gasto público total que se dedica a protección social,Cantabria,36.36
2012,Proporción del gasto público total que se dedica a protección social,Cantabria,36.36
2013,Proporción del gasto público total que se dedica a protección social,Cantabria,37.7
2013,Proporción del gasto público total que se dedica a protección social,Cantabria,37.7
2014,Proporción del gasto público total que se dedica a protección social,Cantabria,38.74
2014,Proporción del gasto público total que se dedica a protección social,Cantabria,38.74
2015,Proporción del gasto público total que se dedica a protección social,Cantabria,39.55
2015,Proporción del gasto público total que se dedica a protección social,Cantabria,39.55
2016,Proporción del gasto público total que se dedica a protección social,Cantabria,40.76
2016,Proporción del gasto público total que se dedica a protección social,Cantabria,40.76
2017,Proporción del gasto público total que se dedica a protección social,Cantabria,42.21
2017,Proporción del gasto público total que se dedica a protección social,Cantabria,42.21
2018,Proporción del gasto público total que se dedica a protección social,Cantabria,43.95
2018,Proporción del gasto público total que se dedica a protección social,Cantabria,43.95
2019,Proporción del gasto público total que se dedica a protección social,Cantabria,46.52
2019,Proporción del gasto público total que se dedica a protección social,Cantabria,46.52
