Year,Serie,Value
2010,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,298.0
2011,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,291.43
2012,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,286.93
2013,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,268.29
2014,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,277.87
2015,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,282.24
2016,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,272.78
2017,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,281.62
2018,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,273.69
2010,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,67.16
2011,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,65.76
2012,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,76.47
2013,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,83.43
2014,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,97.23
2015,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,110.02
2016,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,98.21
2017,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,104.66
2018,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,107.93
2010,Tasa de mortalidad atribuida a la diabetes,7.63
2011,Tasa de mortalidad atribuida a la diabetes,5.75
2012,Tasa de mortalidad atribuida a la diabetes,8.8
2013,Tasa de mortalidad atribuida a la diabetes,7.31
2014,Tasa de mortalidad atribuida a la diabetes,9.21
2015,Tasa de mortalidad atribuida a la diabetes,10.11
2016,Tasa de mortalidad atribuida a la diabetes,6.88
2017,Tasa de mortalidad atribuida a la diabetes,12.74
2018,Tasa de mortalidad atribuida a la diabetes,17.73
2010,Tasa de mortalidad atribuida al cáncer,263.57
2011,Tasa de mortalidad atribuida al cáncer,267.93
2012,Tasa de mortalidad atribuida al cáncer,281.69
2013,Tasa de mortalidad atribuida al cáncer,280.02
2014,Tasa de mortalidad atribuida al cáncer,285.21
2015,Tasa de mortalidad atribuida al cáncer,290.29
2016,Tasa de mortalidad atribuida al cáncer,303.91
2017,Tasa de mortalidad atribuida al cáncer,281.1
2018,Tasa de mortalidad atribuida al cáncer,286.6
