Year,Serie,Región,Value
2013,Tasa de crecimiento del PIB generado por el turismo,Cantabria,-10.81
2014,Tasa de crecimiento del PIB generado por el turismo,Cantabria,9.6
2015,Tasa de crecimiento del PIB generado por el turismo,Cantabria,10.06
2016,Tasa de crecimiento del PIB generado por el turismo,Cantabria,1.44
2017,Tasa de crecimiento del PIB generado por el turismo,Cantabria,13.11
2018,Tasa de crecimiento del PIB generado por el turismo,Cantabria,-2.69
2019,Tasa de crecimiento del PIB generado por el turismo,Cantabria,2.52
2012,PIB generado por el turismo en proporción al PIB total,Cantabria,5.16
2013,PIB generado por el turismo en proporción al PIB total,Cantabria,4.72
2014,PIB generado por el turismo en proporción al PIB total,Cantabria,5.09
2015,PIB generado por el turismo en proporción al PIB total,Cantabria,5.48
2016,PIB generado por el turismo en proporción al PIB total,Cantabria,5.38
2017,PIB generado por el turismo en proporción al PIB total,Cantabria,5.86
2018,PIB generado por el turismo en proporción al PIB total,Cantabria,5.49
2019,PIB generado por el turismo en proporción al PIB total,Cantabria,5.45
2016,Pernoctaciones de turistas por habitante,España,26.65
2017,Pernoctaciones de turistas por habitante,España,27.87
2018,Pernoctaciones de turistas por habitante,España,27.03
2019,Pernoctaciones de turistas por habitante,España,26.44
2020,Pernoctaciones de turistas por habitante,España,12.65
2021,Pernoctaciones de turistas por habitante,España,17.13
2022,Pernoctaciones de turistas por habitante,España,23.97
2010,Pernoctaciones de turistas por habitante,Cantabria,7.41
2011,Pernoctaciones de turistas por habitante,Cantabria,7.27
2012,Pernoctaciones de turistas por habitante,Cantabria,6.94
2013,Pernoctaciones de turistas por habitante,Cantabria,6.87
2014,Pernoctaciones de turistas por habitante,Cantabria,7.32
2015,Pernoctaciones de turistas por habitante,Cantabria,7.99
2016,Pernoctaciones de turistas por habitante,Cantabria,8.71
2017,Pernoctaciones de turistas por habitante,Cantabria,9.08
2018,Pernoctaciones de turistas por habitante,Cantabria,9.43
2019,Pernoctaciones de turistas por habitante,Cantabria,9.5
2020,Pernoctaciones de turistas por habitante,Cantabria,5.4
2021,Pernoctaciones de turistas por habitante,Cantabria,7.02
2022,Pernoctaciones de turistas por habitante,Cantabria,9.45
2023,Pernoctaciones de turistas por habitante,Cantabria,9.93
2016,Pernoctaciones de turistas no residentes por habitante,España,12.78
2017,Pernoctaciones de turistas no residentes por habitante,España,13.62
2018,Pernoctaciones de turistas no residentes por habitante,España,13.2
