Year,Serie,RefArea,Value
2013,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.6
2014,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.56
2015,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.57
2016,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.58
2017,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.61
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.62
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.65
2020,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.71
2021,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.74
2022,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.75
2023,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.74
2013,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.37
2014,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.34
2015,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.34
2016,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.35
2017,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.36
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.37
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.39
2020,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.42
2021,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.44
2022,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.45
2023,Volumen de remesas enviadas al extranjero en proporción al PIB,Cantabria,0.45
2010,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,11.58
2011,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,13.71
2012,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,18.35
2013,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,20.63
2014,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,23.04
2015,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,24.42
2016,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,24.86
2017,Deuda bruta de las administraciones públicas autonómicas según el protocolo de déficit excesivo en proporción al PIB,España,24.78
