Year,Serie,RefArea,Value
2010,Proporción de personas ocupadas en el sector manufacturero,España,12.85
2011,Proporción de personas ocupadas en el sector manufacturero,España,12.76
2012,Proporción de personas ocupadas en el sector manufacturero,España,12.61
2013,Proporción de personas ocupadas en el sector manufacturero,España,12.36
2014,Proporción de personas ocupadas en el sector manufacturero,España,12.35
2015,Proporción de personas ocupadas en el sector manufacturero,España,12.45
2016,Proporción de personas ocupadas en el sector manufacturero,España,12.45
2017,Proporción de personas ocupadas en el sector manufacturero,España,12.71
2018,Proporción de personas ocupadas en el sector manufacturero,España,12.65
2019,Proporción de personas ocupadas en el sector manufacturero,España,12.61
2020,Proporción de personas ocupadas en el sector manufacturero,España,12.66
2021,Proporción de personas ocupadas en el sector manufacturero,España,12.27
2022,Proporción de personas ocupadas en el sector manufacturero,España,12.23
2023,Proporción de personas ocupadas en el sector manufacturero,España,12.05
2010,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,11.16
2011,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.9
2012,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.51
2013,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.18
2014,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,9.97
2015,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,9.91
2016,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.05
2017,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.05
2018,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.05
2019,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.07
2020,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,10.09
2021,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,9.83
2022,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,9.78
2023,Empleo del sector manufacturero en proporción al empleo total (personas empleadas),España,9.59
2010,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,11.48
2011,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,11.26
2012,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.83
2013,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.55
2014,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.3
2015,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.25
2016,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.36
2017,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.43
2018,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.34
2019,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.44
2020,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.67
2021,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.33
2022,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.13
2023,Empleo del sector manufacturero en proporción al empleo total (horas trabajadas),España,10.05
