Year,Serie,Value
2013,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,0.0
2014,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,0.0
2015,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,-0.2
2016,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,2.9
2017,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,2.9
2018,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,2.8
2019,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,0.0
2011,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,0.6
2012,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,-0.4
2013,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,-1.0
2014,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,-0.4
2015,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,0.4
2016,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,0.5
2017,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,0.5
2018,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,1.1
2019,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,0.0
2011,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,0.5
2012,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.3
2013,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.7
2014,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.2
2015,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-0.2
2016,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,0.4
2017,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,1.2
2018,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-0.2
2019,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,0.0
2013,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,0.0
2014,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,0.0
2015,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,-1.1
2016,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,0.3
2017,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,1.7
2018,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,2.7
2019,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,0.0
