Year,Serie,RefArea,Value
2010,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,33.14
2011,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,33.34
2012,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,34.29
2013,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,35.76
2014,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.33
2015,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.13
2016,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.44
2017,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.17
2018,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.05
2019,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,37.25
2020,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,España,38.51
2010,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,24.6
2011,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,26.42
2012,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,30.29
2013,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,28.4
2014,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,27.52
2015,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,29.41
2016,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,28.51
2017,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,30.13
2018,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,28.63
2019,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,28.14
2020,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,28.2
2021,Proporción del valor añadido total del sector manufacturero correspondiente a las actividades de media-alta y alta tecnología,Cantabria,25.96
