Year,Serie,Value
2010,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2011,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2012,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2013,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2014,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2015,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2016,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2017,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2018,Emisiones de CO2 de las unidades residentes por unidad de PIB,0.4
2010,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.6
2011,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.5
2012,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.6
2013,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.5
2014,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.4
2015,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.4
2016,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.4
2017,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.4
2018,Emisiones de CO2 de las unidades residentes por unidad de valor añadido del sector manufacturero,1.4
