Year,Serie,RefArea,Value
2014,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,31.31
2015,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,30.52
2016,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,33.86
2017,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,36.11
2018,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,España,35.02
2014,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Cantabria,1.41
2015,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Cantabria,1.46
2016,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Cantabria,1.47
2017,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Cantabria,1.47
2018,Proporción de residuos municipales reciclados en relación al total de residuos municipales generados y tratados,Cantabria,1.55
