Year,Serie,Value
2010,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",15.14
2011,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",16.07
2012,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",15.36
2013,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",12.84
2014,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",14.0
2015,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",11.94
2016,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",9.24
2017,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",9.98
2018,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",9.99
2019,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",9.99
