Year,Serie,Value
2010,Ingreso medio por hora de trabajo,13.5
2011,Ingreso medio por hora de trabajo,13.2
2012,Ingreso medio por hora de trabajo,13.0
2013,Ingreso medio por hora de trabajo,12.9
2014,Ingreso medio por hora de trabajo,13.8
2015,Ingreso medio por hora de trabajo,14.1
2016,Ingreso medio por hora de trabajo,14.0
2017,Ingreso medio por hora de trabajo,14.2
2018,Ingreso medio por hora de trabajo,14.4
2010,Ingreso medio por hora de trabajo de las mujeres,12.1
2011,Ingreso medio por hora de trabajo de las mujeres,11.6
2012,Ingreso medio por hora de trabajo de las mujeres,11.4
2013,Ingreso medio por hora de trabajo de las mujeres,11.2
2014,Ingreso medio por hora de trabajo de las mujeres,12.2
2015,Ingreso medio por hora de trabajo de las mujeres,12.3
2016,Ingreso medio por hora de trabajo de las mujeres,12.2
2017,Ingreso medio por hora de trabajo de las mujeres,12.9
2018,Ingreso medio por hora de trabajo de las mujeres,0.0
2010,Ingreso medio por hora de trabajo de los hombres,14.6
2011,Ingreso medio por hora de trabajo de los hombres,14.5
2012,Ingreso medio por hora de trabajo de los hombres,14.3
2013,Ingreso medio por hora de trabajo de los hombres,14.3
2014,Ingreso medio por hora de trabajo de los hombres,15.1
2015,Ingreso medio por hora de trabajo de los hombres,15.4
2016,Ingreso medio por hora de trabajo de los hombres,15.3
2017,Ingreso medio por hora de trabajo de los hombres,15.3
2018,Ingreso medio por hora de trabajo de los hombres,0.0
