Year,Serie,Value
2010,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",11.7
2011,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",10.0
2012,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",11.5
2013,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",9.9
2014,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",12.1
2015,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",10.0
2016,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",11.6
2017,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",10.1
2018,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana nacional",13.9
2010,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",11.7
2011,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",9.4
2012,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",10.2
2013,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",9.7
2014,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",12.1
2015,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",10.9
2016,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",9.6
2017,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",10.0
2018,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, considerando la mediana autonómica",13.7
