Year,Serie,RefArea,Value
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2016,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2018,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2020,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2016,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2018,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2020,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,80.6
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,86.7
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,89.8
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,91.5
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,92.7
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,94.6
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,96.8
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,97.4
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,96.8
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,96.8
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,96.1
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.3
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.4
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.1
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,97.9
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,99.1
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,4.3
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.5
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.2
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.1
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.0
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.0
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,3.0
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,2.9
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,2.5
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,4.5
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.5
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.5
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.1
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,3.0
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,2.8
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,2.6
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,2.6
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,2.4
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2016,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2018,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2020,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2021,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",España,100.0
2010,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2011,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2012,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2013,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2014,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2015,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2016,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2017,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2018,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2019,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
2020,"Proporción de escuelas que ofrecen servicios básicos, desglosada por tipo de servicio",Cantabria,100.0
