Year,Serie,RefArea,Value
2010,Incidencia de los nuevos diagnósticos de VIH,España,0.12
2011,Incidencia de los nuevos diagnósticos de VIH,España,0.11
2012,Incidencia de los nuevos diagnósticos de VIH,España,0.1
2013,Incidencia de los nuevos diagnósticos de VIH,España,0.09
2014,Incidencia de los nuevos diagnósticos de VIH,España,0.1
2015,Incidencia de los nuevos diagnósticos de VIH,España,0.09
2016,Incidencia de los nuevos diagnósticos de VIH,España,0.09
2017,Incidencia de los nuevos diagnósticos de VIH,España,0.09
2018,Incidencia de los nuevos diagnósticos de VIH,España,0.09
2019,Incidencia de los nuevos diagnósticos de VIH,España,0.08
2020,Incidencia de los nuevos diagnósticos de VIH,España,0.06
2021,Incidencia de los nuevos diagnósticos de VIH,España,0.06
2022,Incidencia de los nuevos diagnósticos de VIH,España,0.06
2010,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.1
2011,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.08
2012,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.07
2013,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.08
2014,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.06
2015,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.11
2016,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.07
2017,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.07
2018,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.05
2019,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.03
2020,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.02
2021,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.02
2022,Incidencia de los nuevos diagnósticos de VIH,Cantabria,0.06
2010,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.19
2011,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.18
2012,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.18
2013,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.16
2014,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.17
2015,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.16
2016,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.16
2017,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.16
2018,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.15
2019,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.15
2020,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.11
2021,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.11
2022,Incidencia de los nuevos diagnósticos de VIH en los hombres,España,0.11
2010,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.17
2011,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.12
2012,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.11
2013,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.15
2014,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.11
2015,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.19
2016,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.12
2017,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.12
2018,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.1
2019,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.05
2020,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.05
2021,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.02
2022,Incidencia de los nuevos diagnósticos de VIH en los hombres,Cantabria,0.1
2010,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.04
2011,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.04
2012,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.03
2013,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.03
2014,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.03
2015,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.03
2016,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.03
2017,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.03
2018,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.02
2019,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.02
2020,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.02
2021,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.02
2022,Incidencia de los nuevos diagnósticos de VIH en las mujeres,España,0.02
2010,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.03
2011,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.03
2012,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.03
2013,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.01
2014,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.01
2015,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.03
2016,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.02
2017,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.02
2018,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.01
2019,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.01
2020,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.0
2021,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.01
2022,Incidencia de los nuevos diagnósticos de VIH en las mujeres,Cantabria,0.03
