Year,Serie,RefArea,Value
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.14
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.18
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.32
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.46
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.6
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.51
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.58
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.64
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.53
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.61
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,España,1.16
2010,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.68
2011,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.34
2012,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.51
2013,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.68
2014,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.85
2015,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.51
2016,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,1.55
2017,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.69
2018,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.17
2019,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,0.34
2020,Tasa de mortalidad atribuida a intoxicaciones involuntarias,Cantabria,1.37
