Year,Serie,Value
2011,Proporción de personas entre 18 y 64 años que han realizado actividades educativas en los últimos 12 meses,0.0
2016,Proporción de personas entre 18 y 64 años que han realizado actividades educativas en los últimos 12 meses,0.0
2010,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,8.6
2011,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,9.0
2012,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,9.7
2013,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,10.5
2014,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,9.2
2015,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,10.7
2016,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,9.0
2017,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,10.7
2018,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,11.6
2019,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,11.3
2010,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,64.3
2011,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,66.1
2012,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,71.1
2013,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,77.9
2014,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,76.1
2015,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,77.1
2016,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,77.1
2017,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,77.5
2018,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,79.8
2019,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,79.5
2010,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,15.6
2011,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,16.0
2012,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,17.0
2013,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,18.4
2014,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,16.9
2015,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,18.3
2016,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,16.8
2017,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,18.5
2018,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,19.6
2019,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,19.6
