Year,Serie,Value
2011,Proporción de mujeres en cargos directivos,26.5
2012,Proporción de mujeres en cargos directivos,25.07
2013,Proporción de mujeres en cargos directivos,25.76
2014,Proporción de mujeres en cargos directivos,25.19
2015,Proporción de mujeres en cargos directivos,28.93
2016,Proporción de mujeres en cargos directivos,40.38
2017,Proporción de mujeres en cargos directivos,33.53
2018,Proporción de mujeres en cargos directivos,23.36
2019,Proporción de mujeres en cargos directivos,26.42
2010,Proporción de mujeres en alta dirección,0.0
2011,Proporción de mujeres en alta dirección,23.23
2012,Proporción de mujeres en alta dirección,24.94
2013,Proporción de mujeres en alta dirección,22.47
2014,Proporción de mujeres en alta dirección,27.91
2015,Proporción de mujeres en alta dirección,31.64
2016,Proporción de mujeres en alta dirección,30.63
2017,Proporción de mujeres en alta dirección,25.34
2018,Proporción de mujeres en alta dirección,23.9
2019,Proporción de mujeres en alta dirección,20.87
