Year,Serie,Value
2010,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,22.5
2011,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,13.7
2012,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,11.9
2013,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,18.0
2014,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,9.9
2015,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,8.3
2016,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,14.1
2017,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,2.7
2018,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,8.7
2019,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,0.0
