Year,Serie,Región,Value
2010,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,47.89
2011,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,48.36
2012,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,49.01
2013,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,50.07
2014,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,51.32
2015,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,52.31
2016,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,53.33
2017,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,54.41
2018,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,55.54
2019,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,56.64
2020,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,58.27
2021,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,59.77
2022,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,60.81
2023,Número de personas colegiadas en medicina por cada 10.000 habitantes,España,62.04
2010,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.34
2011,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.31
2012,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,56.63
2013,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,57.11
2014,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,59.03
2015,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,61.1
2016,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,62.65
2017,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,64.28
2018,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,65.59
2019,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,66.8
2020,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,68.57
2021,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,69.65
2022,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,69.94
2023,Número de personas colegiadas en enfermería por cada 10.000 habitantes,España,71.15
2010,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,5.96
2011,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.21
2012,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.68
2013,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,6.98
2014,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.17
2015,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.46
2016,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.68
2017,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,7.87
2018,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.05
2019,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.2
2020,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.39
2021,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.51
2022,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.52
2023,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,España,8.65
2010,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,13.76
2011,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,13.88
2012,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,14.02
2013,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,14.34
2014,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,14.73
2015,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,15.03
2016,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,15.3
2017,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,15.54
2018,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,15.78
2019,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,15.91
2020,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,16.21
2021,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,16.45
2022,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,16.49
2023,Número de personas colegiadas en farmacia por cada 10.000 habitantes,España,16.51
