Year,Serie,RefArea,Value
2010,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,18.72
2011,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,17.24
2012,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,15.95
2013,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,13.92
2014,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,13.22
2015,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,12.47
2016,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,13.42
2017,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,14.22
2018,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,15.63
2019,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,16.15
2020,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,15.72
2021,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,16.06
2022,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,16.19
2023,Proporción de personas detenidas que no han sido condenadas respecto al total de personas reclusas,España,17.48
